 Volume, Increment, Signal, Change, 1st deriv., Time, Temperature
 mL, mL, mV, mV, mV/mL, s, oC
0, NaN,48.5, NaN, NaN,0,21.3
0.1,0.1,-21.9,-70.4, NaN,28,21.3
0.2,0.1,-22.7,-0.8, NaN,31,21.2
0.3,0.1,-20.6,2.1, NaN,35,21.2
0.4,0.1,-9.9,10.7, NaN,50,21.2
0.5,0.1,-3.3,6.6, NaN,60,21.2
0.6,0.1,-0.5,2.8, NaN,64,21.2
0.7,0.1,3.7,4.2, NaN,68,21.2
0.8,0.1,11.1,7.4, NaN,72,21.2
0.9,0.1,19,7.9, NaN,76,21.2
1,0.1,21.7,2.7, NaN,79,21.2
1.1,0.1,26.7,5, NaN,83,21.2
1.2,0.1,28.7,2, NaN,86,21.2
1.3,0.1,35.4,6.7, NaN,90,21.2
1.4,0.1,43.5,8.1, NaN,93,21.2
1.5,0.1,46.8,3.3, NaN,96,21.2
1.6,0.1,53.2,6.4, NaN,100,21.1
1.7,0.1,60.6,7.4, NaN,104,21.1
1.8,0.1,64.4,3.8, NaN,107,21.1
1.9,0.1,71.2,6.8, NaN,111,21.1
2,0.1,87.6,16.4, NaN,116,21.1
2.1,0.1,110.1,22.5, NaN,121,21.1
2.2,0.1,148.5,38.4,261.63,136,21.1
2.3,0.1,170.7,22.2,231.13,141,21.1
2.4,0.1,186.1,15.4,163.42,146,21.1
2.5,0.1,195.2,9.1,89.76,150,21.1
2.6,0.1,202.1,6.9,38.77,154,21.1
2.65,0.05,202.2,0.1,37.21,518,20.9
2.7,0.05,204.5,2.3,34.05,522,20.9
2.75,0.05,206.9,2.4,35.55,526,20.9
2.8,0.05,209.1,2.2,36.89,529,20.9
2.85,0.05,211.1,2,39.26,533,20.9
2.9,0.05,212.7,1.6,33.2,536,20.9
2.95,0.05,214.1,1.4,30.9,540,20.9
3,0.05,215.7,1.6,29.88,544,20.9
3.05,0.05,217.3,1.6,29.07,548,20.9
3.1,0.05,218.7,1.4,27.8,551,20.9
3.15,0.05,220.1,1.4,26.03,555,20.9
3.2,0.05,221.3,1.2,23.71,558,20.9
3.25,0.05,222.4,1.1,22.96,562,20.9
3.3,0.05,223.5,1.1,22.73,566,20.9
3.35,0.05,224.7,1.2,22.07,570,20.9
3.4,0.05,225.7,1,21.34,573,20.9
3.45,0.05,227,1.3,19.81,576,20.9
3.5,0.05,227.8,0.8,18.56,580,20.9
3.55,0.05,228.6,0.8,17.59,584,20.9
3.6,0.05,229.5,0.9, NaN,587,20.9
3.65,0.05,230.3,0.8, NaN,590,20.9
3.7,0.05,231.3,1, NaN,594,20.9
3.75,0.05,232,0.7, NaN,597,20.9
3.8,0.05,232.7,0.7, NaN,600,20.9
